time realx realy realh kalx kaly kalh gpsx gpsy gpsh kinx kiny kinh imuh
2.10914 0 0 0 0 0 0 0.38934 0.162893 -7.7163 0 0 0 138.778
2.12616 0 0 0 0 0 0 0.38934 0.162893 -7.7163 0 0 0 138.778
2.14316 0 0 0 0 0 0 0.38934 0.162893 -7.7163 0 0 0 138.778
2.16016 0 0 0 0 0 0 0.38934 0.162893 -7.7163 0 0 0 138.778
2.17715 0 0 0 0 0 0 0.38934 0.162893 -7.7163 0 0 0 138.778
2.19413 0 0 0 0 0 0 0.38934 0.162893 -7.7163 0 0 0 138.778
2.21115 0 0 0 0 0 0 0.38934 0.162893 -7.7163 0 0 0 138.778
2.22816 0 0 0 0 0 0 0.38934 0.162893 -7.7163 0 0 0 138.778
2.24517 0 0 0 0 0 0 0.38934 0.162893 -7.7163 0 0 0 138.778
2.2622 0 0 0 0 0 0 0.38934 0.162893 -7.7163 0 0 0 138.778
2.27916 0 0 0 0 0 0 0.38934 0.162893 -7.7163 0 0 0 138.778
2.29617 0 0 0 0 0 0 0.38934 0.162893 -7.7163 0 0 0 138.778
2.3132 0 0 0 0 0 0 0.38934 0.162893 -7.7163 0 0 0 138.778
2.33015 0 0 0 0 0 0 0.38934 0.162893 -7.7163 0 0 0 138.778
2.34717 0 0 0 0 0 0 0.38934 0.162893 -7.7163 0 0 0 138.778
2.36419 0 0 0 0 0 0 0.38934 0.162893 -7.7163 0 0 0 138.778
2.38116 0 0 0 0 0 0 0.38934 0.162893 -7.7163 0 0 0 138.778
2.39815 0 0 0 0 0 0 0.38934 0.162893 -7.7163 0 0 0 138.778
2.41517 0 0 0 0 0 0 0.38934 0.162893 -7.7163 0 0 0 138.778
2.43216 0 0 0 0 0 0 0.38934 0.162893 -7.7163 0 0 0 138.778
2.44918 0 0 0 0 0 0 0.38934 0.162893 -7.7163 0 0 0 138.778
2.46617 0 0 0 0 0 0 0.38934 0.162893 -7.7163 0 0 0 138.778
2.48317 0 0 0 0 0 0 0.38934 0.162893 -7.7163 0 0 0 138.778
2.50016 0 0 0 0 0 0 0.38934 0.162893 -7.7163 0 0 0 138.778
2.51714 0 0 0 0 0 0 0.38934 0.162893 -7.7163 0 0 0 138.778
2.53417 0 0 0 0 0 0 0.38934 0.162893 -7.7163 0 0 0 138.778
2.55118 0 0 0 0 0 0 0.38934 0.162893 -7.7163 0 0 0 138.778
2.56814 0 0 0 0 0 0 0.38934 0.162893 -7.7163 0 0 0 138.778
2.58516 0 0 0 0 0 0 0.38934 0.162893 -7.7163 0 0 0 138.778
2.60217 0 0 0 0 0 0 0.38934 0.162893 -7.7163 0 0 0 138.778
2.61919 0 0 0 0 0 0 0.38934 0.162893 -7.7163 0 0 0 138.778
2.6362 0 0 0 0 0 0 0.38934 0.162893 -7.7163 0 0 0 138.778
2.65317 0 0 0 0 0 0 0.38934 0.162893 -7.7163 0 0 0 138.778
2.67018 0 0 0 0 0 0 0.38934 0.162893 -7.7163 0 0 0 138.778
2.68716 0 0 0 0 0 0 0.38934 0.162893 -7.7163 0 0 0 138.778
2.70416 0 0 0 0 0 0 0.38934 0.162893 -7.7163 0 0 0 138.778
2.72116 0 0 0 0 0 0 0.38934 0.162893 -7.7163 0 0 0 138.778
2.73816 0 0 0 0 0 0 0.38934 0.162893 -7.7163 0 0 0 138.778
2.7552 0 0 0 0 0 0 0.38934 0.162893 -7.7163 0 0 0 138.778
2.77216 0 0 0 0 0 0 0.38934 0.162893 -7.7163 0 0 0 138.778
2.78916 0 0 0 0 0 0 0.38934 0.162893 -7.7163 0 0 0 138.778
2.80619 0 0 0 0 0 0 0.38934 0.162893 -7.7163 0 0 0 138.778
2.82317 0 0 0 0 0 0 0.38934 0.162893 -7.7163 0 0 0 138.778
2.84016 0 0 0 0 0 0 0.38934 0.162893 -7.7163 0 0 0 138.778
2.85717 0 0 0 0 0 0 0.38934 0.162893 -7.7163 0 0 0 138.778
2.87417 0 0 0 0 0 0 0.38934 0.162893 -7.7163 0 0 0 138.778
2.89117 0 0 0 0 0 0 0.38934 0.162893 -7.7163 0 0 0 138.778
